"id","group","names","values","feature_set"
"1_GunPointOldVersusYoung",1,"DN_HistogramMode_5",0.871809613695728,"catch22"
"1_GunPointOldVersusYoung",1,"DN_HistogramMode_10",0.998108229991336,"catch22"
"1_GunPointOldVersusYoung",1,"CO_f1ecac",22.3893650283541,"catch22"
"1_GunPointOldVersusYoung",1,"CO_FirstMin_ac",68,"catch22"
"1_GunPointOldVersusYoung",1,"CO_HistogramAMI_even_2_5",1.03061238613269,"catch22"
"1_GunPointOldVersusYoung",1,"CO_trev_1_num",1.83529530533639e-05,"catch22"
"1_GunPointOldVersusYoung",1,"MD_hrv_classic_pnn40",0.302013422818792,"catch22"
"1_GunPointOldVersusYoung",1,"SB_BinaryStats_mean_longstretch1",74,"catch22"
"1_GunPointOldVersusYoung",1,"SB_TransitionMatrix_3ac_sumdiagcov",0.0625,"catch22"
"1_GunPointOldVersusYoung",1,"PD_PeriodicityWang_th0_01",0,"catch22"
"1_GunPointOldVersusYoung",1,"CO_Embed2_Dist_tau_d_expfit_meandiff",4.92575036326111,"catch22"
"1_GunPointOldVersusYoung",1,"IN_AutoMutualInfoStats_40_gaussian_fmmi",29,"catch22"
"1_GunPointOldVersusYoung",1,"FC_LocalSimple_mean1_tauresrat",1.21875,"catch22"
"1_GunPointOldVersusYoung",1,"DN_OutlierInclude_p_001_mdrmd",-0.0266666666666666,"catch22"
"1_GunPointOldVersusYoung",1,"DN_OutlierInclude_n_001_mdrmd",0.54,"catch22"
"1_GunPointOldVersusYoung",1,"SP_Summaries_welch_rect_area_5_1",0.984128407264769,"catch22"
"1_GunPointOldVersusYoung",1,"SB_BinaryStats_diff_longstretch0",27,"catch22"
"1_GunPointOldVersusYoung",1,"SB_MotifThree_quantile_hh",1.22988931497514,"catch22"
"1_GunPointOldVersusYoung",1,"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1",0.15,"catch22"
"1_GunPointOldVersusYoung",1,"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1",0.75,"catch22"
"1_GunPointOldVersusYoung",1,"SP_Summaries_welch_rect_centroid",0.0490873852123438,"catch22"
"1_GunPointOldVersusYoung",1,"FC_LocalSimple_mean3_stderr",0.117756332926074,"catch22"
"1_GunPointOldVersusYoung",1,"DN_Mean",375.514235666667,"catch22"
"1_GunPointOldVersusYoung",1,"DN_Spread_Std",104.468444603686,"catch22"
"2_GunPointOldVersusYoung",1,"DN_HistogramMode_5",-0.978244371669837,"catch22"
"2_GunPointOldVersusYoung",1,"DN_HistogramMode_10",1.19747338529135,"catch22"
"2_GunPointOldVersusYoung",1,"CO_f1ecac",23.1112937359478,"catch22"
"2_GunPointOldVersusYoung",1,"CO_FirstMin_ac",59,"catch22"
"2_GunPointOldVersusYoung",1,"CO_HistogramAMI_even_2_5",1.06177914601043,"catch22"
"2_GunPointOldVersusYoung",1,"CO_trev_1_num",2.45811669211301e-05,"catch22"
"2_GunPointOldVersusYoung",1,"MD_hrv_classic_pnn40",0.302013422818792,"catch22"
"2_GunPointOldVersusYoung",1,"SB_BinaryStats_mean_longstretch1",65,"catch22"
"2_GunPointOldVersusYoung",1,"SB_TransitionMatrix_3ac_sumdiagcov",0.0625,"catch22"
"2_GunPointOldVersusYoung",1,"PD_PeriodicityWang_th0_01",39,"catch22"
"2_GunPointOldVersusYoung",1,"CO_Embed2_Dist_tau_d_expfit_meandiff",4.60705434534534,"catch22"
"2_GunPointOldVersusYoung",1,"IN_AutoMutualInfoStats_40_gaussian_fmmi",30,"catch22"
"2_GunPointOldVersusYoung",1,"FC_LocalSimple_mean1_tauresrat",1.27272727272727,"catch22"
"2_GunPointOldVersusYoung",1,"DN_OutlierInclude_p_001_mdrmd",-0.0866666666666667,"catch22"
"2_GunPointOldVersusYoung",1,"DN_OutlierInclude_n_001_mdrmd",0.516666666666667,"catch22"
"2_GunPointOldVersusYoung",1,"SP_Summaries_welch_rect_area_5_1",0.98503301600317,"catch22"
"2_GunPointOldVersusYoung",1,"SB_BinaryStats_diff_longstretch0",30,"catch22"
"2_GunPointOldVersusYoung",1,"SB_MotifThree_quantile_hh",1.22988931497514,"catch22"
"2_GunPointOldVersusYoung",1,"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1",0.175,"catch22"
"2_GunPointOldVersusYoung",1,"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1",0.75,"catch22"
"2_GunPointOldVersusYoung",1,"SP_Summaries_welch_rect_centroid",0.0490873852123438,"catch22"
