real,shuffle,fft,iafft,id,group,names,problem
1.1586295656124312,1.1586295656124312,-0.36079699590119874,1.1586295656124312,1,1,DN_HistogramMode_5,ItalyPowerDemand
-0.21722666294042814,-0.21722666294042814,-0.5295689413647298,-0.21722666294042814,1,1,DN_HistogramMode_10,ItalyPowerDemand
2.5866737821451435,0.4876506735798858,2.610398899405193,2.618378666580388,1,1,CO_f1ecac,ItalyPowerDemand
6.0,1.0,7.0,6.0,1,1,CO_FirstMin_ac,ItalyPowerDemand
0.4858472977471297,0.43645121957286076,0.4409160152900916,0.589408416620419,1,1,CO_HistogramAMI_even_2_5,ItalyPowerDemand
0.09535589982524241,0.25004880106728405,0.110159340052356,-0.01821501999908259,1,1,CO_trev_1_num,ItalyPowerDemand
1.0,0.9565217391304348,1.0,0.9565217391304348,1,1,MD_hrv_classic_pnn40,ItalyPowerDemand
8.0,4.0,10.0,9.0,1,1,SB_BinaryStats_mean_longstretch1,ItalyPowerDemand
0.04000000000000001,0.013862633900441082,0.08000000000000002,0.04000000000000001,1,1,SB_TransitionMatrix_3ac_sumdiagcov,ItalyPowerDemand
0.0,4.0,0.0,0.0,1,1,PD_PeriodicityWang_th0_01,ItalyPowerDemand
0.24059834094478727,0.14498017233558863,0.20362001118386366,0.28770019298713145,1,1,CO_Embed2_Dist_tau_d_expfit_meandiff,ItalyPowerDemand
3.0,1.0,3.0,3.0,1,1,IN_AutoMutualInfoStats_40_gaussian_fmmi,ItalyPowerDemand
0.75,1.0,0.75,0.75,1,1,FC_LocalSimple_mean1_tauresrat,ItalyPowerDemand
0.29166666666666674,-0.04166666666666663,-0.08333333333333337,-0.5833333333333333,1,1,DN_OutlierInclude_p_001_mdrmd,ItalyPowerDemand
-0.625,0.20833333333333326,-0.5833333333333333,0.6666666666666667,1,1,DN_OutlierInclude_n_001_mdrmd,ItalyPowerDemand
0.4680519426798375,0.05435662804240358,0.6619771120092042,0.4748032141422687,1,1,SP_Summaries_welch_rect_area_5_1,ItalyPowerDemand
5.0,4.0,8.0,8.0,1,1,SB_BinaryStats_diff_longstretch0,ItalyPowerDemand
1.787502084491367,2.0050683555949265,1.8390211812571495,1.7302380457053697,1,1,SB_MotifThree_quantile_hh,ItalyPowerDemand
0.0,0.0,0.0,0.0,1,1,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,ItalyPowerDemand
0.0,0.0,0.0,0.0,1,1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,ItalyPowerDemand
0.5890486225481251,1.96349540849375,0.39269908169875,0.5890486225481251,1,1,SP_Summaries_welch_rect_centroid,ItalyPowerDemand
0.8574191532883989,1.1435863362808807,0.8810896276440299,0.8251260362303018,1,1,FC_LocalSimple_mean3_stderr,ItalyPowerDemand
-1.0416666441452154e-09,-1.0416666638054146e-09,8.247377491591804e-10,-1.04166674128973e-09,1,1,DN_Mean,ItalyPowerDemand
